Price,Close,High,Low,Open,Volume
Ticker,HYG,HYG,HYG,HYG,HYG
Date,,,,,
2010-01-04,34.75522232055664,34.75522232055664,34.54715470892131,34.54715470892131,1316800
2010-01-05,34.920108795166016,34.97114628597511,34.71204116538159,34.84159372567835,733000
2010-01-06,35.0103874206543,35.041794631800315,34.93972269315402,34.955426298727026,715700
2010-01-07,35.151710510253906,35.18704137002795,34.982900524858444,35.08889609933654,956000
2010-01-08,35.206668853759766,35.257703312250065,35.13993079377497,35.159558049276285,711400
2010-01-11,35.17526626586914,35.21845042685595,35.12815845036071,35.13600875456007,895800
2010-01-12,34.99468994140625,35.44615894640772,34.959359069049185,35.13601942114857,1133900
2010-01-13,35.07318878173828,35.10459598387039,34.97897017049761,34.97897017049761,868900
2010-01-14,35.112464904785156,35.128168512838315,35.022169907268754,35.112464904785156,394600
2010-01-15,34.97110366821289,35.143837209614475,34.93576983339271,35.143837209614475,835300
2010-01-19,34.986846923828125,35.01825115185801,34.927959129140895,34.93973608904681,796900
2010-01-20,34.935787200927734,35.0221555121417,34.884752742099366,34.9986016073218,588500
2010-01-21,34.3901252746582,35.002554210486124,34.3901252746582,35.002554210486124,1416800
2010-01-22,34.06427001953125,34.56284982979709,34.001458583881764,34.54321957138086,1394400
2010-01-25,34.115325927734375,34.327320253522785,34.05643811582228,34.24880217258715,711300
2010-01-26,34.15847396850586,34.32335727121256,34.11528981848905,34.23306232249868,576000
2010-01-27,34.17027282714844,34.319452625933835,34.123161998246964,34.13886560788079,876500
2010-01-28,34.02499771118164,34.24876878215782,33.97788990370599,34.19773432567399,833700
2010-01-29,33.85227584838867,34.26055763236253,33.84834919801681,34.26055763236253,1357000
2010-02-01,34.01567459106445,34.134359706992576,33.88511824701534,34.003803362943465,924700
2010-02-02,34.1185302734375,34.26491188548781,34.023581588564895,34.130398481751044,1238500
2010-02-03,34.29261779785156,34.30448601046356,34.11063149494842,34.181843788985766,641200
2010-02-04,33.80596923828125,34.16203038497383,33.77827576122531,34.14225105471251,1762600
2010-02-05,33.6081657409668,33.75850438184656,33.014731362832975,33.75850438184656,3261500
2010-02-08,33.4617919921875,33.679382817694176,33.38662266096612,33.54882952973568,1202400
2010-02-09,33.529056549072266,33.647744682255535,33.414325491892335,33.572575330015155,853800
2010-02-10,33.07805633544922,33.59632176693039,33.074099258265974,33.50928417909207,1463200
2010-02-11,33.21256637573242,33.39850976235222,32.991018349989076,33.19674410392116,1157700
2010-02-12,33.1927604675293,33.299577317795695,32.98703487820897,33.216496874618926,743100
2010-02-16,33.521114349365234,33.63584228185517,33.101752214233585,33.101752214233585,1061300
2010-02-17,33.778282165527344,33.813889796129054,33.67937644038054,33.695201718607606,1400200
2010-02-18,34.098751068115234,34.177874469430016,33.821813126784946,33.821813126784946,1153400
2010-02-19,34.328208923339844,34.332165998774705,34.142268634999844,34.16996212631552,1485600
2010-02-22,34.371734619140625,34.44294689948658,34.30447941502633,34.37569169537228,1596200
2010-02-23,34.12250518798828,34.458784345588036,34.003817006075025,34.42713376129572,1014900
