Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2010-01-04,56.13515090942383,56.316414082784654,55.991393585908654,56.153901449995104,2829100
2010-01-05,56.49771499633789,56.647724189816586,56.25394826867016,56.285202369635265,2841600
2010-01-06,55.74140167236328,56.41645006511613,55.703900573445466,56.36019364803405,4099600
2010-01-07,55.83516311645508,56.02892516610241,55.70390449230311,55.766407917798475,2793200
2010-01-08,55.810157775878906,55.97891749246519,55.47888534682422,55.947668165759445,2910700
2010-01-11,55.50390625,55.853929345993585,55.48515092525146,55.622661361165235,2181300
2010-01-12,56.45390319824219,56.497656032707035,56.15388035569657,56.353898763194515,4321200
2010-01-13,55.79766845703125,56.428964149397096,55.76641912235782,56.21019973185645,4755000
2010-01-14,56.5789794921875,56.5789794921875,55.96643905662496,56.06019660822943,4188800
2010-01-15,56.92898941040039,57.085250357551,56.86648598528127,56.897735313488,4142800
2010-01-19,56.76646423339844,56.95397923631349,56.5164458190799,56.703960821994954,2496000
2010-01-20,57.34149169921875,57.36024224199283,57.047720479215116,57.078974562974345,2800500
2010-01-21,57.604026794433594,57.74778416775511,57.16649336513546,57.222749775043035,4363100
2010-01-22,57.5040283203125,57.69779036801471,57.36026615128124,57.56027997208192,3666900
2010-01-25,57.24153518676758,57.45404787457732,57.18527874259535,57.21653285254744,2419500
2010-01-26,57.260276794433594,57.57279877027104,57.072761701448364,57.516542334892705,3138100
2010-01-27,57.22901916503906,57.56029167603294,57.110264064254814,57.347779034529935,3325700
2010-01-28,57.19779586791992,57.31655102276334,56.91652311772397,56.960276020815506,3058200
2010-01-29,57.69780349731445,57.729057601213185,57.03525845928047,57.13526777679104,4930600
2010-02-01,57.17401885986328,57.53782615632352,57.11129461905531,57.52527843683023,3598500
2010-02-02,57.337154388427734,57.36224027760431,57.10506923631095,57.1928842050996,3047500
2010-02-03,56.67222213745117,57.06112013383787,56.62204082458449,56.9607575081045,5343700
2010-02-04,57.5692024230957,57.594293083737796,57.017222245632304,57.073672642911355,6095000
2010-02-05,57.694637298583984,57.97062490638788,57.21165061020999,57.31201322072244,6875800
2010-02-08,57.769920349121094,57.801284869915015,57.48765880419172,57.625655038798605,3386000
2010-02-09,57.19287109375,57.84521413060082,57.16778042476853,57.54413088837899,4790000
2010-02-10,56.64713668823242,57.45629248676304,56.57813857308652,57.2806626611385,5068000
2010-02-11,56.33981704711914,56.62835261101455,56.063824427064134,56.57817126453971,5087500
2010-02-12,56.57184982299805,56.71611507863682,56.42130592291563,56.64711698748709,2833800
2010-02-16,56.67849349975586,56.72867481041073,56.28332644584347,56.28332644584347,2440900
2010-02-17,56.03242492675781,56.509133023434785,55.87561191943041,56.402501326984925,4368200
2010-02-18,55.80659866333008,56.13904138292614,55.518063382443835,56.113950734298825,5121800
2010-02-19,56.10771942138672,56.14535781564427,55.76273350865537,55.97599700537415,3502500
2010-02-22,55.87562561035156,56.02616479431681,55.77526296400514,55.900716271938165,3382600
2010-02-23,56.747493743896484,56.791401195985735,56.01360999373909,56.03869586445863,5474500
2010-02-24,56.88547897338867,57.004653585725116,56.56557914963835,56.79766408617132,4423200
2010-02-25,57.20539474487305,57.26184992743269,57.017221969300635,57.192851807389886,3707700
2010-02-26,57.50019454956055,57.7448224673845,57.33711246138016,57.3684721926979,4349100
2010-03-01,57.474979400634766,57.59453695311701,57.23586909640723,57.468690435257656,2415200
2010-03-02,57.39956283569336,57.437315889721035,57.07235369830545,57.185617661132895,2260600
2010-03-03,57.254791259765625,57.31142559848907,57.072310302809036,57.2673788020334,2156100
2010-03-04,57.55686950683594,57.689009987214675,57.15415429023099,57.2359541683481,2374700
2010-03-05,56.8017463684082,57.17929589514798,56.70736378746491,57.15412560664922,3823200
2010-03-08,56.50603485107422,56.6130050307245,56.44310669763844,56.56895820376591,2850400
2010-03-09,56.5185546875,56.631818516562674,56.25427401993334,56.61923578032849,2573700
2010-03-10,56.373863220214844,56.44308031604674,56.12216992708995,56.31093989693362,3216200
2010-03-11,56.58150100708008,56.71993516571279,56.235420411239,56.248003152596205,2621000
2010-03-12,56.93387985229492,57.04084995581781,56.46194784185088,56.48711332442278,3099100
2010-03-15,56.85835647583008,56.927573539505175,56.663292824058246,56.85206270620336,1936800
2010-03-16,57.31144714355469,57.31773611631203,56.97165538569853,56.98423813195577,3932600
2010-03-17,57.55686950683594,57.55686950683594,57.30517129627183,57.45618830231267,3481200
2010-03-18,57.36803436279297,57.56310279138063,57.26735806481074,57.52534497899065,2750300
2010-03-19,57.42471694946289,57.62607451541784,57.179312565978506,57.42471694946289,2976300
2010-03-22,57.48761749267578,57.56941732115284,57.39952389254937,57.48132372102642,2452300
2010-03-23,57.217071533203125,57.46247594209489,57.204488784353295,57.30516517738255,2910000
2010-03-24,56.172508239746094,56.7891683575059,56.04036781467086,56.53117647944803,8049300
2010-03-25,55.81382751464844,56.15361916057806,55.6061810649756,56.08440207710679,8268400
2010-03-26,55.97113037109375,56.07810526743082,55.68167933555763,55.71314338755212,4110700
2010-03-29,55.75722885131836,55.908245844003744,55.5684540099039,55.86419902110619,3245100
2010-03-30,55.93336486816406,55.971117881540884,55.543232793893004,55.70054341728209,3254600
2010-03-31,56.317222595214844,56.329805337100076,55.97113718410991,56.14103540437629,4263900
2010-04-01,56.17949676513672,56.23002473324398,55.851074609664025,56.065811246201505,2912400
2010-04-05,55.24475860595703,55.66791953648479,55.2068650356449,55.56686840944821,5652000
2010-04-06,55.333251953125,55.48483124968538,55.16903823765687,55.4532548396539,3584600
2010-04-07,56.04060363769531,56.16060164908202,55.137435855972505,55.232169860062875,6389900
2010-04-08,56.06584167480469,56.293212836076215,55.882686123583326,56.14163366810015,3797600
2010-04-09,56.19850540161133,56.24902860238109,55.838501696059666,55.96481692590977,2311300
2010-04-12,56.495323181152344,56.56479797426532,56.26795200707626,56.31848000545209,2939600
2010-04-13,56.67848587036133,56.81111825753991,56.53953627847463,56.77322466652184,3090900
2010-04-14,56.28064727783203,56.760654144251205,56.280647277832024,56.69117927600815,3570100
2010-04-15,56.34374237060547,56.526902745444616,56.00900282364995,56.116371203123414,3698000
2010-04-16,56.75429153442383,56.836395940934466,56.3627066647081,56.46376268990564,8303900
2010-04-19,56.61531448364258,56.861632402470285,56.53952250145937,56.760581244840175,3211500
2010-04-20,56.817447662353516,56.836394461930894,56.615340435834185,56.74797285149221,2285000
2010-04-21,57.284786224365234,57.36689539934446,57.006891962028,57.01320434578521,4162200
2010-04-22,57.114261627197266,57.53110543962873,57.05110405787294,57.411107503496616,2841400
2010-04-23,56.91218566894531,57.070082087998294,56.76060645586702,56.97534327284324,4776000
2010-04-26,56.975345611572266,57.25324486246996,56.804819592186455,57.16482324966006,4753900
2010-04-27,57.77743911743164,58.05533343892399,57.284798418529014,57.37953719980316,13199200
2010-04-28,57.284786224365234,57.69531764342066,57.145841502503394,57.556368102945264,8379500
2010-04-29,57.52479934692383,57.61322091737084,57.171108246521605,57.3858497880459,4067200
2010-04-30,58.187957763671875,58.2132217564278,57.54374281354462,57.651111168796845,6924800
2010-05-03,58.11192321777344,58.321069222774796,57.85206826415696,57.940798044560054,4211800
2010-05-04,59.15764236450195,59.24003772195644,58.66328956140825,58.82173622062589,11054800
2010-05-05,59.50627136230469,60.11470640756566,59.164025742705654,59.61401401048996,12219100
2010-05-06,61.3442497253418,63.3787055946817,59.436549333026655,59.6773915089498,19578200
2010-05-07,60.57737731933594,62.168179593841224,60.38090001358204,60.7675105642243,18740600
2010-05-10,59.322452545166016,59.53794260438881,58.99921987403696,59.04358959878572,10240100
2010-05-11,59.170379638671875,59.58867672051042,58.93587660911446,59.56332948499193,7729100
2010-05-12,58.720367431640625,59.1069778944949,58.695015370996444,59.030921712562346,5530800
