Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2010-01-04,15.483123779296875,15.5513058085073,15.421116640649643,15.48806425929252,78541293
2010-01-05,15.414941787719727,15.510050993887603,15.354416887514274,15.493746369362842,120638494
2010-01-06,15.026350021362305,15.46113684800329,14.979413097344569,15.46113684800329,159744526
2010-01-07,14.676543235778809,15.069334554179608,14.640722628976402,15.054512168888374,257533695
2010-01-08,14.872198104858398,14.90258352242368,14.55327182375201,14.624665210924974,189680313
2010-01-11,14.84971809387207,14.932475627827987,14.675061766294561,14.932475627827987,289597429
2010-01-12,14.587116241455078,14.776841841342522,14.525851638919816,14.764243285865016,194859654
2010-01-13,14.503369331359863,14.53523698716736,14.177526570839124,14.241508764560553,260838034
2010-01-14,14.571552276611328,14.679014098112878,14.397636602725946,14.424563778627824,170239717
2010-01-15,14.328219413757324,14.663203437483103,14.27979930535246,14.65776824744434,218194794
2010-01-19,14.516464233398438,14.585635688698664,14.236569890360473,14.357865636884448,173315202
2010-01-20,14.338349342346191,14.475949711760178,14.21186529009499,14.475949711760178,130515377
2010-01-21,14.401835441589355,14.496698701867547,14.13676353440447,14.413199584946309,253253712
2010-01-22,13.587352752685547,14.096004662430406,13.213088906244971,13.945311027798432,273035583
2010-01-25,13.340068817138672,13.58414256337873,13.229148735034785,13.502866311409274,177458675
2010-01-26,13.399849891662598,13.577222862130439,13.248415622938442,13.289917356546649,174873019
2010-01-27,13.391945838928223,13.529051495583603,13.224205988873637,13.371441379893005,159170382
2010-01-28,13.199007987976074,13.51299284166305,13.107849843929959,13.450985704488433,129648138
2010-01-29,13.091546058654785,13.364522940711113,12.98457800150966,13.30276363205778,166240784
2010-02-01,13.167634010314941,13.23655858054752,13.1004395067658,13.206666925400818,90369462
2010-02-02,13.120697021484375,13.215558396052554,13.033985594100045,13.215558396052554,164462143
2010-02-03,13.360322952270508,13.391944671410064,13.049301635934285,13.06017106981501,120413655
2010-02-04,13.013482093811035,13.290657862793545,12.983343558830109,13.265955463665215,135614418
2010-02-05,13.124896049499512,13.179491047949217,12.906761045991225,13.05350266275055,126713179
2010-02-08,13.178750991821289,13.389474812000964,13.130825591760134,13.154788291790712,108175956
2010-02-09,13.252120971679688,13.377863422905623,13.218277312374529,13.32870361358316,113206742
2010-02-10,13.202960968017578,13.285471623026904,13.035963655083446,13.193573771783385,107380987
2010-02-11,13.251132011413574,13.352170160096465,13.080675539113061,13.17504314195533,96761331
2010-02-12,13.170104026794434,13.269660893279402,13.105380239723326,13.166398903316793,91529795
2010-02-16,13.372180938720703,13.442093031908884,13.19925468630293,13.262743115239441,146723904
2010-02-17,13.29584789276123,13.424060114967784,13.281025506510442,13.389474862352115,81492313
2010-02-18,13.4196138381958,13.463834116275665,13.244710620622007,13.27929587436934,93826371
2010-02-19,13.358841896057129,13.439622478238016,13.33265536634875,13.353158878050774,102506786
2010-02-22,13.4092378616333,13.525345293870686,13.364770702440168,13.521640170225515,86105539
2010-02-23,13.218276977539062,13.429741432991356,13.149599294495749,13.414178401256468,115334688
2010-02-24,13.129343032836914,13.301528644708824,13.105628161411888,13.191350171224887,93412827
2010-02-25,13.00483512878418,13.055725951287219,12.845990608398122,13.02188134562638,132864148
2010-02-26,13.013976097106934,13.136260305829186,12.931959211770174,13.029292246983793,82279251
2010-03-01,13.1594820022583,13.174304388580055,13.037197788058092,13.07326622538003,89851528
2010-03-02,13.366250991821289,13.479887686408862,13.21679180369956,13.22840377408918,174925214
2010-03-03,13.471490859985352,13.540661360641852,13.321538832559085,13.398366462045475,124039193
2010-03-04,13.700493812561035,13.73853730003717,13.493228269191096,13.500639461025191,127829347
2010-03-05,13.938146591186523,14.02362172337306,13.831673235618638,13.867493845611355,157074555
2010-03-08,13.895407676696777,13.962108407705085,13.85909236130472,13.952226502623276,95813793
2010-03-09,13.838837623596191,13.949262985600885,13.747680418384675,13.83043890174216,127540267
2010-03-10,14.240521430969238,14.291163478460025,13.88873807219933,13.927029392840266,227043838
2010-03-11,14.356383323669434,14.481632021417576,14.184939289794185,14.186420582592167,169966698
2010-03-12,14.316854476928711,14.532765639335892,14.307467281843637,14.529307398180004,110548817
2010-03-15,13.912702560424805,14.06759508123548,13.735328631723398,13.99916522088124,186853758
2010-03-16,13.962604522705078,14.042150703213288,13.85291980359942,13.87935321836013,137774484
2010-03-17,13.971495628356934,14.117001890319889,13.93913420783728,14.039184838353027,133362007
2010-03-18,13.992247581481934,14.042643691660889,13.907266220796705,13.950744902511028,71354455
2010-03-19,13.834144592285156,14.031775161752904,13.766950085157093,13.834144592285156,192486794
2010-03-22,13.772382736206055,14.003363161554336,13.692836569631542,13.738044369608897,160792439
2010-03-23,13.562400817871094,13.79239373575359,13.38947455871426,13.761019843218985,220876809
2010-03-24,13.768182754516602,13.830436769029985,13.33265437273681,13.47618367349679,263592319
2010-03-25,13.905288696289062,14.130587037086642,13.801038246061998,13.80993167629677,157825359
2010-03-26,13.900595664978027,14.01670403481243,13.834637469092531,13.964331921925691,108252241
2010-03-29,13.894667625427246,13.950744861567506,13.848223520871434,13.908253708395375,124645457
2010-03-30,13.99990463256836,14.022631973135377,13.8410582388688,13.90405289903202,79412546
2010-03-31,14.010035514831543,14.074759305187579,13.903561214300359,13.958897808522037,121686407
2010-04-01,14.051535606384277,14.166408615202851,13.971247846667609,14.11453026859579,84423257
2010-04-05,14.106132507324219,14.20173547656882,14.056477042097194,14.103414912284745,76345092
2010-04-06,14.037210464477539,14.10316961553907,13.967545243606898,14.067842767871676,82712870
