ticker,model,accuracy,precision,recall,f1,predicted_positive_rate,roc_auc
SPY,majority_baseline,0.5616438356164384,0.0,0.0,0.0,0.0,0.5
SPY,logistic_regression,0.5579078455790785,0.46938775510204084,0.06534090909090909,0.11471321695739145,0.06102117061021171,0.5381916448296714
SPY,random_forest,0.5653798256537983,0.6153846153846154,0.022727272727272728,0.04383561643828748,0.0161892901618929,0.5282012195121951
SPY,gradient_boosting,0.5280199252801993,0.37142857142857144,0.11079545454545454,0.17067833697995244,0.1307596513075965,0.49017020258012495
QQQ,majority_baseline,0.5255292652552926,0.0,0.0,0.0,0.0,0.5
QQQ,logistic_regression,0.526774595267746,0.5079365079365079,0.08398950131233596,0.14414414414390062,0.0784557907845579,0.5255376845666804
QQQ,random_forest,0.5317559153175592,0.5396825396825397,0.08923884514435695,0.15315315315290962,0.0784557907845579,0.5112077222574667
QQQ,gradient_boosting,0.5429638854296388,0.5555555555555556,0.1837270341207349,0.27613412228759493,0.1569115815691158,0.51987162742098
IWM,majority_baseline,0.5429638854296388,0.0,0.0,0.0,0.0,0.5
IWM,logistic_regression,0.5454545454545454,0.5454545454545454,0.0326975476839237,0.06169665809757966,0.0273972602739726,0.5546271529635278
IWM,random_forest,0.539227895392279,0.47692307692307695,0.08446866485013624,0.1435185185182629,0.08094645080946451,0.5371722120840937
IWM,gradient_boosting,0.5591531755915318,0.5511811023622047,0.1907356948228883,0.28340080971621723,0.1581569115815691,0.5409375546833988
