Date,Close,High,Low,Open,Volume,return,label,lag_return_1,rolling_mean_5,rolling_std_5,momentum_5,momentum_10,ma_5,ma_10,volatility_10,volume_change,volume_ma_5
2010-01-19,52.06505584716797,52.0811163496717,51.3184017382063,51.3184017382063,46839000,0.01837349498723917,0,0.01837349498723917,0.0019125403588333922,0.014403957091331517,0.009181799602554275,0.013598222887101441,51.55764389038086,51.50304756164551,0.010229352255696201,-0.3184586126466168,48556140.0
2010-01-20,51.31034851074219,51.70374793106777,50.73229321969788,51.69571768389107,62485000,-0.01449546772102106,0,-0.01449546772102106,0.0011920483370371881,0.015268767518226107,0.005506224357655132,0.0023521633583563073,51.61383972167969,51.51508827209473,0.011346830722245582,0.3340378744208885,51882160.0
2010-01-21,50.467376708984375,51.768001718330645,50.290747940707966,51.35051442507971,98323100,-0.01642888474205806,0,-0.01642888474205806,-0.004673984950536969,0.015279728811202747,-0.023609806441861392,-0.013186656300556154,51.369772338867186,51.44764938354492,0.01252935488606428,0.5735472513403217,63646400.0
2010-01-22,49.56014633178711,50.62794295996488,49.11857751803,50.38708445914913,83757000,-0.017976570932718205,0,-0.017976570932718205,-0.009014810599243672,0.015378877519647557,-0.044722804508280145,-0.038023908023916864,50.90572509765625,51.251753616333005,0.013138609413762454,-0.14814524765797665,72025840.0
2010-01-25,49.61635208129883,49.8973526800959,49.23901297027018,49.84115317286517,62298700,0.001134091677926996,0,0.001134091677926996,-0.005878667346126232,0.01556648462214601,-0.02952225719550272,-0.04215704403603693,50.60385589599609,51.0333797454834,0.012869101403972889,-0.25619709397423496,70740560.0
2010-01-26,49.126590728759766,49.800987601360255,49.08644867759208,49.43167583039008,58213200,-0.009870966566356332,1,-0.009870966566356332,-0.011527559656845331,0.007705240546139172,-0.0564383360508397,-0.0477747419398058,50.01616287231445,50.786903381347656,0.012991320042969564,-0.06557921754386531,73015400.0
2010-01-27,49.648460388183594,49.728744512844486,48.74123507882892,48.90983357820262,72565800,0.010622956970598674,0,0.010622956970598674,-0.006503874718521385,0.012177158784821562,-0.03238894630019251,-0.02706106274757436,49.68378524780273,50.648812484741214,0.013637130317133234,0.24655232833790275,75031560.0
2010-01-28,48.79743576049805,49.76889084322458,48.34783975127893,49.74480315512848,93814200,-0.01714100741557123,0,-0.01714100741557123,-0.0066462992532240195,0.012325523605408666,-0.03308951361026535,-0.05591808304053303,49.349797058105466,50.35978469848633,0.013128762478860434,0.29281562388893945,74129780.0
2010-01-29,48.25953674316406,49.52804400568763,48.14713771438089,48.9981606823928,79325600,-0.011023100065627234,1,-0.011023100065627234,-0.005255605079805825,0.011054244729857778,-0.026243053842414876,-0.06979219538400039,49.08967514038086,49.99770011901855,0.012780861849704414,-0.1544393066294868,73243500.0
2010-02-01,48.829551696777344,48.925893263324966,48.299668486800655,48.48432443211826,60731800,0.0118114468575794,1,0.0118114468575794,-0.0031201340438753444,0.013383199922304523,-0.01585768303224455,-0.044911785630744605,48.932315063476565,49.76808547973633,0.013762774670007449,-0.2343984791794831,72930120.0
2010-02-02,49.36745834350586,49.42365783812228,48.668973660171325,48.91785932393173,71047700,0.011016006251067356,0,0.011016006251067356,0.0010572605196093932,0.013995032660180214,0.0049029987868685065,-0.05181205435716141,48.98048858642578,49.498325729370116,0.012547115344960842,0.1698599415792057,75497020.0
2010-02-03,49.038307189941406,49.47987612793538,48.64490751554872,49.13464877978789,50241000,-0.006667370867549427,0,-0.006667370867549427,-0.002400805048020227,0.013151236165879295,-0.012289468665727332,-0.044280372025247705,48.85845794677734,49.27112159729004,0.01214285700798997,-0.2928553633685538,71032060.0
2010-02-04,47.40046691894531,48.71714604514222,47.36032486024766,48.70108860913461,99167300,-0.03339920084623238,1,-0.03339920084623238,-0.005652443734152457,0.018591538776170653,-0.028627914966867896,-0.060770144795203485,48.579064178466794,48.96443061828613,0.014879981917683702,0.9738321291375569,72102680.0
2010-02-05,47.58512878417969,47.63330109822101,46.565504440128656,47.50484159411082,106752200,0.0038957815658260397,0,0.0038957815658260397,-0.002668667407861802,0.01871090128364415,-0.013974604907078914,-0.03985092244049082,48.444182586669925,48.76692886352539,0.014552232474289016,0.0764858980732559,77588000.0
