Date,Close,High,Low,Open,Volume,return,label,lag_return_1,rolling_mean_5,rolling_std_5,momentum_5,momentum_10,ma_5,ma_10,volatility_10,volume_change,volume_ma_5,vix_return,vix_return_ma_3,vix_return_ma_5,tlt_return,tlt_return_ma_3,tlt_return_ma_5,gld_return,gld_return_ma_3,gld_return_ma_5,spy_return,qqq_return
2010-01-27,49.73678207397461,49.817209019363005,48.82794286424744,48.99684129041786,72565800,0.0106228498044205,0,0.0106228498044205,-0.0065039337689036,0.0121771464069182,-0.0323892333386173,-0.0270609196230864,49.77216262817383,50.73891105651855,0.0136370220008223,0.2465523283379027,75031560.0,-0.03384496715922447,0.040965612298096664,0.07553042431920658,0.0003274794657246449,-0.001991483964081701,0.001746845357128679,0.0007442705541653716,0.0005913864206794258,-0.0071544505470027666,-0.0041904839191395,0.0009023622991068
2010-01-28,48.88422775268555,49.85741068280071,48.43383208396156,49.83328015191165,93814200,-0.0171413245034839,0,-0.0171413245034839,-0.0066462907501856,0.0123254480800437,-0.0330894686209043,-0.055918249712717,49.43758087158203,50.44936828613281,0.0131286840077843,0.2928156238889394,74129780.0,-0.05743380412344701,-0.05361678139161796,0.05152943839504589,-0.0005454205690907932,-0.0015944382689776864,-0.0003881652505782762,-0.009576039444736728,-0.0019797066303307576,-0.004442695955099718,0.0047568896710263,0.0078917436778755
2010-01-29,48.34536743164063,49.61613076330675,48.23276849861727,49.085305030417466,79325600,-0.0110231938974491,1,-0.0110231938974491,-0.005255660444734,0.0110542362976382,-0.0262433245319535,-0.0697923904029865,49.17699356079102,50.08663864135743,0.012780787901073,-0.1544393066294868,73243500.0,0.02549698220181562,-0.021927263026951953,0.01819200299453172,-0.0005467180651859138,-0.00025488638951735404,-0.001413318105304362,-0.0004693083914030227,-0.0031003590939914596,-0.0016542377148202948,-0.0114725160974927,-0.0257274050273679
2010-02-01,48.91640090942383,49.01291383099948,48.385575238622046,48.57055961667974,60731800,0.011811544892913,1,0.011811544892913,-0.0031201358584739,0.0133832448318167,-0.0158576944185401,-0.0449123128464323,49.01935348510742,49.85661277770996,0.0137627586243503,-0.2343984791794831,72930120.0,0.03750532297368925,0.0018561670173526206,-0.019569607799869805,0.008742603564108054,0.002550154976610449,0.0006825141383978162,-0.004883586176437471,-0.004976311337525741,-0.0022584028917665535,-0.0108679800893254,-0.0174511508682285
2010-02-02,49.45528030395508,49.511579774344185,48.75555305524868,49.00488147275119,71047700,0.0110163336736295,0,0.0110163336736295,0.001057241994006,0.0139952147589664,0.0049028954933636,-0.051812054599994,49.06761169433594,49.58637313842773,0.0125471897937664,0.1698599415792057,75497020.0,-0.0824533150872434,-0.006483669970579513,-0.022145956238882002,-0.00907787058798093,-0.0002939950296862633,-0.00021998523848498763,0.02255567582388429,0.005734260418681266,0.0016742024730944881,0.0155504618039172,0.010984040848043
2010-02-03,49.125518798828125,49.567873039980455,48.73141948734547,49.22203172625812,50241000,-0.0066678725325226,0,-0.0066678725325226,-0.0024009024733826,0.0131514910796935,-0.0122899642811097,-0.0442811350989028,48.94535903930664,49.35876083374024,0.0121429705933066,-0.2928553633685538,71032060.0,-0.049136812875337776,-0.03136160166296398,-0.025204325382104664,0.002852447809486014,0.000839060261871046,0.00028500843026728616,0.007198881313165595,0.008290323653537471,0.002965124624894533,0.0121034522177136,0.0090155641561413
2010-02-04,47.48478698730469,48.803808336714674,47.44457352042577,48.787722336344935,99167300,-0.0333987681278712,1,-0.0333987681278712,-0.00565239119826,0.0185914873621318,-0.0286276541476914,-0.0607698489049856,48.66547088623047,49.05152587890625,0.0148799263798916,0.9738321291375568,72102680.0,0.005586631368284634,-0.04200116553143218,-0.012600238283758336,-0.011596358118159289,-0.005940593632218068,-0.001925179079546413,-0.003940257637661704,0.00860476649979606,0.004092280986309538,-0.0049828267654455,0.0054987539033852
2010-02-05,47.669769287109375,47.71802728609034,46.64833131935941,47.58933928880777,106752200,0.0038956118694213,0,0.0038956118694213,-0.002668630044886,0.0187108143675666,-0.0139744132772708,-0.0398510027464453,48.53035125732422,48.853672409057616,0.0145521845378417,0.0764858980732559,77588000.0,0.20740738255169866,0.05461906701488184,0.023781841786218273,0.015828120106236465,0.002361403265854397,0.0013497885547380628,-0.03983435439949368,-0.012191910241329929,-0.003780728215308593,-0.0308658921105735,-0.0289362846079394
2010-02-08,47.19523620605469,47.93517367481237,47.1469782140569,47.51695001652602,61579200,-0.0099545915189274,1,-0.0099545915189274,-0.007021857327254,0.0169487103248472,-0.0351858409729721,-0.0504855690775035,48.18611831665039,48.602735900878905,0.0145431873003043,-0.4231575555351552,77757480.0,0.001150333080263577,0.0713814490000823,0.01651084380753314,0.0021787202642453707,0.002136827417440849,3.701189476552624e-05,0.002970178695371306,-0.013601477780594692,-0.0022099752409468374,0.0020671190310708,0.008446793184726
2010-02-09,47.846717834472656,48.20060066428808,47.251548049506034,47.75824635999603,91986700,0.0138039700781154,1,0.0138039700781154,-0.0064643300463569,0.0177187732073322,-0.0325255960454798,-0.0277821701503865,47.86440582275391,48.46600875854492,0.0155660562171018,0.4937949827214385,81945280.0,0.015319785874370773,0.07462583383544434,0.036065463999855975,0.0013045224945167355,0.006437120954999524,0.0021134905112650594,-0.006113864996012963,-0.014326013566711778,-0.00794388340492629,-0.007219276981621,-0.0072131089277697
2010-02-10,47.95931625366211,48.07995666182961,47.20328952954517,47.70194636786219,55715500,0.0023533154265458,1,0.0023533154265458,-0.0046600924545432,0.0181469885352574,-0.0237392413084059,-0.0357374511617747,47.6311653137207,48.28826217651367,0.0149883639700918,-0.3943091773049799,83040180.0,-0.019238031855096205,-0.0009226376334872851,0.04204522020390429,-0.009988881433076191,-0.0021685462247713616,-0.00045477533724738175,0.01316803858637372,0.003341450761910688,-0.006750051950284663,0.0125600923448643,0.0103116051257747
2010-02-11,48.72337341308594,48.75554234045936,47.452607205080085,47.82257594864242,51969700,0.0159313605594926,1,0.0159313605594926,0.0052059332829295,0.0103520156262583,0.0260838576808271,-0.0032905161233884,47.87888259887696,48.27217674255371,0.0152970169415747,-0.0672308424047167,73600660.0,-0.02307693774883568,-0.008998394576520371,0.036312506380480225,-0.009541801692896423,-0.00607538687715196,-4.38640521948086e-05,-0.002751170718643947,0.00143433429057227,-0.0065122345664811124,-0.0019584727895576,-0.0020875189945699
2010-02-12,49.077266693115234,49.1416076297629,48.10408663212535,48.25689904124318,65909800,0.00726331645859,1,0.00726331645859,0.0058794742007632,0.010355004908135,0.0295259957632407,0.0151389740187515,48.16038208007812,48.345366668701175,0.0149516183414905,0.2682351447093209,65432180.0,-0.05669293526315966,-0.033002634955697184,-0.016507557182491438,-0.005424887815975943,-0.008318523647316186,-0.0042944656366372905,0.019120951810489784,0.009845939892739852,0.00527882667551558,0.010466603568469,0.0151092888424797
2010-02-16,49.90566635131836,49.95392434572449,49.12551538434043,49.59199705790461,50057600,0.0168794986767129,1,0.0168794986767129,0.0112462922398913,0.0062284373746641,0.0574301637866567,0.0202235942036355,48.70246810913086,48.44429321289063,0.0154147190724456,-0.2405135503369756,63127860.0,-0.05133554212167868,-0.043701805044558006,-0.02700473222287989,0.0041182464799938145,-0.0036161476762928504,-0.003906560393487602,-0.0008400666498453724,0.005176571480666821,0.004516777606472244,-0.0008324694691446,0.0020606488737142
2010-02-17,50.24346160888672,50.35606051750876,49.85740689300108,50.15499016122936,50459400,0.0067686754283651,1,0.0067686754283651,0.0098392333099412,0.0063004363092053,0.0500921250796277,0.0159372528087482,49.18181686401367,48.52311134338379,0.0151991122983437,0.0080267531803361,54822400.0,-0.021117446190194844,-0.04304864119167773,-0.034292178635793015,0.0018852360688721426,0.0001928649109633381,-0.00379041767861652,0.02410315591356116,0.014128013691401856,0.01056018178838707,0.0157345647179543,0.01279747673585
